20060^38879^Sachsen-Anhalt^Harz^Wernigerode^^^^Wernigerode^Marktplatz 1^ 33 710^10,784299^51,83447^3117^38855^Wernigerode(38855)^www.wernigerode.de
20061^38895^Sachsen-Anhalt^Harz^Halberstadt^^^^Halberstadt^Holzmarkt 1^ 40 526^11,047309^51,896112^3117^38820^Halberstadt(38820)^www.halberstadt.de
20062^38895^Sachsen-Anhalt^Harz^Blankenburg/Harz^^^^Blankenburg (Harz)^Harzstraße 3^ 20 852^10,952601^51,791278^3117^38889^Blankenburg (Harz)(38889)^www.blankenburg.de
20063^38899^Sachsen-Anhalt^Harz^Oberharz am Brocken^^^^Oberharz am Brocken^Markt 1-2^ 11 333^10,81734^51,690841^3117^38875^Oberharz am Brocken(38875)^www.oberharzstadt.de
20064^39264^Sachsen-Anhalt^Jerichower Land^Gommern^^^^Gommern^Platz des Friedens 10^ 10 761^11,825518^52,07322^3103^39245^Gommern(39245)^www.gommern.de
20065^39264^Sachsen-Anhalt^Anhalt-Bitterfeld^Zerbst^^^^Zerbst/Anhalt^Schloßfreiheit 12^ 22 242^12,085468^51,964039^3114^39261^Zerbst/Anhalt(39261)^www.stadt-zerbst.de
20066^39279^Sachsen-Anhalt^Jerichower Land^Möckern^^^^Möckern^Am Markt 10^ 13 247^11,952694^52,139752^3103^39291^Möckern(39291)^www.moeckern-flaeming.de
20067^39279^Sachsen-Anhalt^Jerichower Land^Gommern^^^^Gommern^Platz des Friedens 10^ 10 761^11,825518^52,07322^3103^39245^Gommern(39245)^www.gommern.de
20068^39356^Sachsen-Anhalt^Börde^Oebisfelde-Weferlingen^^^^Oebisfelde-Weferlingen^Lange Straße 12^ 13 714^11,095598^52,400918^3105^39646^Oebisfelde-Weferlingen(39646)^www.stadt-oebisfelde-weferlingen.de
20069^39356^Sachsen-Anhalt^Börde^Flechtingen^^^^Flechtingen^Lindenplatz 13-15^ 2 812^11,239354^52,332246^3105^39345^Flechtingen(39345)^www.luftkurortflechtingen.de
20070^39359^Sachsen-Anhalt^Börde^Flechtingen^^^^Flechtingen^Lindenplatz 13-15^ 2 812^11,239354^52,332246^3105^39345^Flechtingen(39345)^www.luftkurortflechtingen.de
20071^39443^Sachsen-Anhalt^Salzlandkreis^Staßfurt^^^^Staßfurt^Hohenerxlebener Straße 12^ 27 358^11,583836^51,853448^3107^39418^Staßfurt(39418)^www.stassfurt.de
20072^39446^Sachsen-Anhalt^Salzlandkreis^Staßfurt^^^^Staßfurt^Hohenerxlebener Straße 12^ 27 358^11,583836^51,853448^3107^39418^Staßfurt(39418)^www.stassfurt.de
20073^39448^Sachsen-Anhalt^Salzlandkreis^Börde-Hakel^^^^Egeln^Markt 18^ 3 225^11,407337^51,972852^3107^39435^Egeln(39435)^
20074^39599^Sachsen-Anhalt^Stendal^Bismark/Altmark^^^^Bismark/Altmark^Breite Straße 11^ 8 753^11,555013^52,66143^3108^39629^Bismark/Altmark(39629)^
20075^39649^Sachsen-Anhalt^Altmarkkreis Salzwedel^Gardelegen^^^^Gardelegen^Rudolf-Breitscheid-Str. 3^ 23 237^11,393175^52,527189^3106^39638^Gardelegen(39638)^www.gardelegen.de
20076^40668^Nordrhein-Westfalen^Rhein-Kreis Neuss^Meerbusch^^^^Meerbusch^Dorfstr. 20^54 594^6,677861^51,261029^5122^40667^Meerbusch(40667)^www.meerbusch.de
20077^47599^Nordrhein-Westfalen^Kleve^Kranenburg^^^^Kleve^Landwehr 4-6^10 191^6,007968^51,789765^5116^47533^Kleve(47533)^www.kleve.de
20078^55246^Hessen^Wiesbaden^Wiesbaden^^^^Wiesbaden^Schloßplatz 6^ 272 636^8,239137^50,081697^2643^65183^Wiesbaden(65183)^www.wiesbaden.de
20079^55252^Hessen^Wiesbaden^Wiesbaden^^^^Wiesbaden^Schloßplatz 6^ 272 636^8,239137^50,081697^2643^65183^Wiesbaden(65183)^www.wiesbaden.de
20080^60308^Hessen^Frankfurt am Main ^Frankfurt/Main ^^^^Frankfurt^Römerberg 23^ 687 775^8,682432^50,110879^2612^60311^Frankfurt(60311)^www.frankfurt.de
20081^61350^Hessen^Hochtaunuskreis^Bad Homburg v d Höhe^^^^Bad Homburg v d Höhe^Rathausplatz 1^ 52 108^8,612989^50,228406^2603^61348^Bad Homburg v d Höhe(61348)^
20082^61352^Hessen^Hochtaunuskreis^Bad Homburg v d Höhe^^^^Bad Homburg v d Höhe^Rathausplatz 1^ 52 108^8,612989^50,228406^2603^61348^Bad Homburg v d Höhe(61348)^
20083^63452^Hessen^Main-Kinzig-Kreis^Hanau^^^^Hanau^Am Markt 14-18^ 88 834^8,915188^50,135573^2622^63450^Hanau(63450)^www.hanau.de
20084^63454^Hessen^Main-Kinzig-Kreis^Hanau^^^^Hanau^Am Markt 14-18^ 88 834^8,915188^50,135573^2622^63450^Hanau(63450)^www.hanau.de
